re_matches_partial	match('hello world', 'world')	regexp_matches('hello world', 'world')	SAME	1	true
re_matches_full	match('hello', '^hello$')	regexp_matches('hello', '^hello$')	SAME	1	true
re_replace_empty	replaceRegexpAll('abc', '', 'X')	regexp_replace('abc', '', 'X', 'g')	DIFF	"abc"[U+0061 U+0062 U+0063]	"XaXbXcX"[U+0058 U+0061 U+0058 U+0062 U+0058 U+0063 U+0058]
json_value_v	JSON_VALUE('{"a": 42}', '$.a')	json_value('{"a": 42}', '$.a')	SAME	"42"[U+0034 U+0032]	"42"[U+0034 U+0032]
json_value_missing	JSON_VALUE('{"a": 42}', '$.b')	json_value('{"a": 42}', '$.b')	DIFF	""[]	NULL
json_exists_t	JSON_EXISTS('{"a": 42}', '$.a')	json_exists('{"a": 42}', '$.a')	SAME	1	true
json_exists_f	JSON_EXISTS('{"a": 42}', '$.b')	json_exists('{"a": 42}', '$.b')	SAME	0	false
json_arr_len	JSONArrayLength('[1,2,3]')	json_array_length('[1,2,3]')	SAME	3	3
json_arr_len_obj	JSONArrayLength('{"a":1}')	json_array_length('{"a":1}')	DIFF	NULL	0
md5_v	lower(hex(MD5('abc')))	md5('abc')	SAME	"900150983cd24fb0d6963f7d28e17f72"[U+0039 U+0030 U+0030 U+0031 U+0035 U+0030 U+0039 U+0038 U+0033 U+0063 U+0064 U+0032 U+0034 U+0066 U+0062 U+0030 U+0064 U+0036 U+0039 U+0036 U+0033 U+0066 U+0037 U+0064 U+0032 U+0038 U+0065 U+0031 U+0037 U+0066 U+0037 U+0032]	"900150983cd24fb0d6963f7d28e17f72"[U+0039 U+0030 U+0030 U+0031 U+0035 U+0030 U+0039 U+0038 U+0033 U+0063 U+0064 U+0032 U+0034 U+0066 U+0062 U+0030 U+0064 U+0036 U+0039 U+0036 U+0033 U+0066 U+0037 U+0064 U+0032 U+0038 U+0065 U+0031 U+0037 U+0066 U+0037 U+0032]
md5_null	MD5(CAST(NULL AS Nullable(String)))	md5(NULL)	SAME	NULL	NULL
sha1_v	lower(hex(SHA1('abc')))	sha1('abc')	SAME	"a9993e364706816aba3e25717850c26c9cd0d89d"[U+0061 U+0039 U+0039 U+0039 U+0033 U+0065 U+0033 U+0036 U+0034 U+0037 U+0030 U+0036 U+0038 U+0031 U+0036 U+0061 U+0062 U+0061 U+0033 U+0065 U+0032 U+0035 U+0037 U+0031 U+0037 U+0038 U+0035 U+0030 U+0063 U+0032 U+0036 U+0063 U+0039 U+0063 U+0064 U+0030 U+0064 U+0038 U+0039 U+0064]	"a9993e364706816aba3e25717850c26c9cd0d89d"[U+0061 U+0039 U+0039 U+0039 U+0033 U+0065 U+0033 U+0036 U+0034 U+0037 U+0030 U+0036 U+0038 U+0031 U+0036 U+0061 U+0062 U+0061 U+0033 U+0065 U+0032 U+0035 U+0037 U+0031 U+0037 U+0038 U+0035 U+0030 U+0063 U+0032 U+0036 U+0063 U+0039 U+0063 U+0064 U+0030 U+0064 U+0038 U+0039 U+0064]
sha256_v	lower(hex(SHA256('abc')))	sha256('abc')	SAME	"ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad"[U+0062 U+0061 U+0037 U+0038 U+0031 U+0036 U+0062 U+0066 U+0038 U+0066 U+0030 U+0031 U+0063 U+0066 U+0065 U+0061 U+0034 U+0031 U+0034 U+0031 U+0034 U+0030 U+0064 U+0065 U+0035 U+0064 U+0061 U+0065 U+0032 U+0032 U+0032 U+0033 U+0062 U+0030 U+0030 U+0033 U+0036 U+0031 U+0061 U+0033 U+0039 U+0036 U+0031 U+0037 U+0037 U+0061 U+0039 U+0063 U+0062 U+0034 U+0031 U+0030 U+0066 U+0066 U+0036 U+0031 U+0066 U+0032 U+0030 U+0030 U+0031 U+0035 U+0061 U+0064]	"ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad"[U+0062 U+0061 U+0037 U+0038 U+0031 U+0036 U+0062 U+0066 U+0038 U+0066 U+0030 U+0031 U+0063 U+0066 U+0065 U+0061 U+0034 U+0031 U+0034 U+0031 U+0034 U+0030 U+0064 U+0065 U+0035 U+0064 U+0061 U+0065 U+0032 U+0032 U+0032 U+0033 U+0062 U+0030 U+0030 U+0033 U+0036 U+0031 U+0061 U+0033 U+0039 U+0036 U+0031 U+0037 U+0037 U+0061 U+0039 U+0063 U+0062 U+0034 U+0031 U+0030 U+0066 U+0066 U+0036 U+0031 U+0066 U+0032 U+0030 U+0030 U+0031 U+0035 U+0061 U+0064]
crc32_v	CRC32('abc')	crc32('abc')	DIFF	891568578	<ERR:Catalog Error: Scalar Function with name crc32 does not exist!>
xxhash64_v	xxHash64('abc')	xxhash64('abc')	DIFF	4952883123889572249	<ERR:Catalog Error: Scalar Function with name xxhash64 does not exist!>
