row_number	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT row_number() OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT row_number() OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	SAME	"1,2,3"[U+0031 U+002C U+0032 U+002C U+0033]	"1,2,3"[U+0031 U+002C U+0032 U+002C U+0033]
rank	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT rank() OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT rank() OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	SAME	"1,2,3"[U+0031 U+002C U+0032 U+002C U+0033]	"1,2,3"[U+0031 U+002C U+0032 U+002C U+0033]
dense_rank	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT dense_rank() OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT dense_rank() OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	SAME	"1,2,3"[U+0031 U+002C U+0032 U+002C U+0033]	"1,2,3"[U+0031 U+002C U+0032 U+002C U+0033]
lag	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT lag(x) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT lag(x) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	DIFF	"0,1,2"[U+0030 U+002C U+0031 U+002C U+0032]	"1,2"[U+0031 U+002C U+0032]
lead	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT lead(x) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT lead(x) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	DIFF	"2,3,0"[U+0032 U+002C U+0033 U+002C U+0030]	"2,3"[U+0032 U+002C U+0033]
ntile	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT ntile(2) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT ntile(2) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	SAME	"1,1,2"[U+0031 U+002C U+0031 U+002C U+0032]	"1,1,2"[U+0031 U+002C U+0031 U+002C U+0032]
first_value	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT first_value(x) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT first_value(x) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	SAME	"1,1,1"[U+0031 U+002C U+0031 U+002C U+0031]	"1,1,1"[U+0031 U+002C U+0031 U+002C U+0031]
last_value	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT last_value(x) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT last_value(x) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	SAME	"1,2,3"[U+0031 U+002C U+0032 U+002C U+0033]	"1,2,3"[U+0031 U+002C U+0032 U+002C U+0033]
nth_value	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT nth_value(x,2) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT nth_value(x,2) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	DIFF	"0,2,2"[U+0030 U+002C U+0032 U+002C U+0032]	"2,2"[U+0032 U+002C U+0032]
percent_rank	(SELECT arrayStringConcat(groupArray(w), ',') FROM (SELECT round(percent_rank(),4) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	(SELECT string_agg(w::VARCHAR, ',') FROM (SELECT round(percent_rank(),4) OVER (ORDER BY x) AS w FROM (SELECT 1 AS x UNION ALL SELECT 2 UNION ALL SELECT 3)))	DIFF	<ERR:Code: 63. DB::Exception: Aggregate function with name 'round' does not exist. In>	<ERR:Catalog Error: Scalar Function with name percent_rank does not exist!>
