abs	5
acos	NaN
asin	NaN
at_timezone	<ERR:Query 20260714_002827_00004_r2wsb failed: 'aBc' is not a val >
atan	1.1902899496825317
atan2	0.7853981633974483
bar	[38;5;196m█[38;5;214m█[38;5;226m█[38;5;154m█[38;5;46m█[0m
beta_cdf	<ERR:Query 20260714_002830_00008_r2wsb failed: value must be 0 >= >
bit_count	2
bitwise_and	5
bitwise_left_shift	160
bitwise_not	-6
bitwise_or	5
bitwise_right_shift	0
bitwise_right_shift_arithmetic	0
bitwise_xor	0
cbrt	1.3572088082974534
ceil	5
ceiling	5
chr	
codepoint	<ERR:Query 20260714_002840_00021_r2wsb failed: line 1:8: Unexpect >
color	<ERR:Query 20260714_002840_00022_r2wsb failed: Invalid color: 'aB >
concat	<ERR:Query 20260714_002841_00023_r2wsb failed: There must be two  >
concat_ws	aBc
cos	-0.8011436155469337
cosh	6.132289479663686
cosine_distance	0.0
cosine_similarity	1.0
crc32	1233267864
create_hll	<ERR:Query 20260714_002846_00030_r2wsb failed: line 1:8: Function >
custom_add	<ERR:Query 20260714_002847_00031_r2wsb failed: line 1:8: Function >
date	2024-06-16
date_add	<ERR:Query 20260714_002848_00033_r2wsb failed: 'aBc' is not a val >
date_diff	<ERR:Query 20260714_002849_00034_r2wsb failed: 'aBc' is not a val >
date_format	aBc
date_parse	1970-01-01 00:00:00.000
date_trunc	<ERR:Query 20260714_002852_00037_r2wsb failed: 'aBc' is not a val >
day	16
day_of_month	16
day_of_week	7
day_of_year	168
degrees	143.2394487827058
dot_product	6.25
dow	7
doy	168
euclidean_distance	0.0
exp	12.182493960703473
floor	5
format_datetime	<ERR:Query 20260714_002900_00049_r2wsb failed: Illegal pattern co >
format_number	5
from_base	<ERR:Query 20260714_002902_00051_r2wsb failed: Not a valid base-5 >
from_base32	<ERR:Query 20260714_002902_00052_r2wsb failed: Unrecognized chara >
from_base64	<ERR:Query 20260714_002903_00053_r2wsb failed: Illegal base64 cha >
from_base64url	<ERR:Query 20260714_002904_00054_r2wsb failed: Illegal base64 cha >
from_big_endian_32	<ERR:Query 20260714_002905_00055_r2wsb failed: expected 4-byte in >
from_big_endian_64	<ERR:Query 20260714_002905_00056_r2wsb failed: expected 8-byte in >
from_hex	<ERR:Query 20260714_002906_00057_r2wsb failed: not a hexadecimal  >
