vector_id	function	area	sql	status	starrocks	doris
null_concat_000	concat	null	concat('a', NULL, 'b')	SAME	NULL	NULL
null_concat_ws_001	concat_ws	null	concat_ws(',', 'a', NULL, 'b')	SAME	a,b	a,b
null_coalesce_002	coalesce	null	coalesce(NULL, NULL, 3)	SAME	3	3
null_nullif_003	nullif	null	nullif(1, 1)	SAME	NULL	NULL
null_ifnull_004	ifnull	null	ifnull(NULL, 'x')	SAME	x	x
null_if_005	if	null	if(NULL, 'a', 'b')	SAME	b	b
null_greatest_006	greatest	null	greatest(1, NULL, 3)	SAME	NULL	NULL
null_least_007	least	null	least(1, NULL, 3)	SAME	NULL	NULL
null_length_008	length	null	length(NULL)	SAME	NULL	NULL
null_abs_009	abs	null	abs(NULL)	SAME	NULL	NULL
null_upper_010	upper	null	upper(NULL)	SAME	NULL	NULL
null_array_contains_011	array_contains	null	array_contains([1, NULL, 3], NULL)	SAME	1	1
rounding_round_012	round	rounding	round(2.5)	SAME	3	3
rounding_round_013	round	rounding	round(3.5)	SAME	4	4
rounding_round_014	round	rounding	round(-2.5)	SAME	-3	-3
rounding_round_015	round	rounding	round(2.345, 2)	SAME	2.35	2.35
rounding_truncate_016	truncate	rounding	truncate(2.567, 1)	SAME	2.5	2.5
rounding_floor_017	floor	rounding	floor(-2.5)	SAME	-3	-3
rounding_ceil_018	ceil	rounding	ceil(2.1)	SAME	3	3
rounding_divide_zero_int_019	divide_zero_int	rounding	1 / 0	SAME	NULL	NULL
rounding_divide_zero_float_020	divide_zero_float	rounding	1.0 / 0.0	SAME	NULL	NULL
rounding_mod_021	mod	rounding	mod(-5, 3)	SAME	-2	-2
rounding_mod_zero_022	mod_zero	rounding	mod(5, 0)	SAME	NULL	NULL
rounding_pmod_023	pmod	rounding	pmod(-5, 3)	SAME	1	1
rounding_pow_024	pow	rounding	pow(2, 10)	SAME	1024	1024
rounding_bin_025	bin	rounding	bin(5)	SAME	101	101
string_length_026	length	string	length('héllo')	SAME	6	6
string_char_length_027	char_length	string	char_length('héllo')	SAME	5	5
string_upper_028	upper	string	upper('héllo')	SAME	HÉLLO	HÉLLO
string_lower_029	lower	string	lower('HÉLLO')	SAME	héllo	héllo
string_substring_030	substring	string	substring('hello', 2, 3)	SAME	ell	ell
string_substring_031	substring	string	substring('hello', 0, 3)	SAME		
string_substring_032	substring	string	substring('hello', -2, 2)	SAME	lo	lo
string_left_033	left	string	left('hello', 2)	SAME	he	he
string_right_034	right	string	right('hello', 2)	SAME	lo	lo
string_locate_035	locate	string	locate('l', 'hello')	SAME	3	3
string_instr_036	instr	string	instr('hello', 'l')	SAME	3	3
string_lpad_037	lpad	string	lpad('x', 4, 'ab')	SAME	abax	abax
string_rpad_038	rpad	string	rpad('x', 4, 'ab')	SAME	xaba	xaba
string_trim_039	trim	string	trim('  x  ')	SAME	x	x
string_ltrim_040	ltrim	string	ltrim('  x  ')	SAME	x  	x  
string_repeat_041	repeat	string	repeat('ab', 3)	SAME	ababab	ababab
string_reverse_042	reverse	string	reverse('abc')	SAME	cba	cba
string_ascii_043	ascii	string	ascii('A')	SAME	65	65
string_split_part_044	split_part	string	split_part('a,b,c', ',', 2)	SAME	b	b
string_replace_045	replace	string	replace('aaa', 'a', 'bb')	SAME	bbbbbb	bbbbbb
string_concat_empty_046	concat_empty	string	concat('', 'x')	SAME	x	x
regex_regexp_replace_047	regexp_replace	regex	regexp_replace('abc123', '[0-9]+', '#')	SAME	abc#	abc#
regex_regexp_extract_048	regexp_extract	regex	regexp_extract('abc123', '([a-z]+)([0-9]+)', 2)	SAME	123	123
regex_regexp_extract_049	regexp_extract	regex	regexp_extract('abc123', '[0-9]+', 0)	SAME	123	123
datetime_date_format_050	date_format	datetime	date_format('2024-03-05 13:07:09', '%Y-%m-%d')	SAME	2024-03-05	2024-03-05
datetime_date_add_051	date_add	datetime	date_add('2024-01-31', INTERVAL 1 MONTH)	DIFF	2024-02-29 00:00:00	2024-02-29
datetime_date_sub_052	date_sub	datetime	date_sub('2024-03-31', INTERVAL 1 MONTH)	DIFF	2024-02-29 00:00:00	2024-02-29
datetime_datediff_053	datediff	datetime	datediff('2024-03-01', '2024-01-01')	SAME	60	60
datetime_date_trunc_054	date_trunc	datetime	date_trunc('month', '2024-03-15 12:34:56')	SAME	2024-03-01 00:00:00	2024-03-01 00:00:00
datetime_day_of_week_055	day_of_week	datetime	dayofweek('2024-03-05')	SAME	3	3
datetime_day_of_year_056	day_of_year	datetime	dayofyear('2024-03-05')	SAME	65	65
datetime_last_day_057	last_day	datetime	last_day('2024-02-10')	SAME	2024-02-29	2024-02-29
datetime_to_date_058	to_date	datetime	to_date('2024-03-05 12:00:00')	SAME	2024-03-05	2024-03-05
datetime_unix_timestamp_059	unix_timestamp	datetime	unix_timestamp('1970-01-01 00:00:01')	SAME	1	1
datetime_from_unixtime_060	from_unixtime	datetime	from_unixtime(0)	SAME	1970-01-01 00:00:00	1970-01-01 00:00:00
datetime_hour_061	hour	datetime	hour('2024-03-05 13:07:09')	SAME	13	13
datetime_months_add_062	months_add	datetime	months_add('2024-01-31', 1)	DIFF	2024-02-29 00:00:00	2024-02-29
array_array_length_063	array_length	array	array_length([10, 20, 30])	ONE_ERR	3	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = Can not found function 'array_length'>
array_array_contains_064	array_contains	array	array_contains([1, 2, 3], 2)	SAME	1	1
array_array_position_065	array_position	array	array_position([10, 20, 30], 20)	SAME	2	2
array_element_at_066	element_at	array	element_at([10, 20, 30], 1)	SAME	10	10
array_element_at_067	element_at	array	element_at([10, 20, 30], -1)	DIFF	NULL	30
array_array_slice_068	array_slice	array	array_slice([1, 2, 3, 4, 5], 2, 2)	DIFF	[2,3]	[2, 3]
array_array_sort_069	array_sort	array	array_to_string(array_sort([3, 1, 2]), ',')	BOTH_ERR	<ERR:ERROR 1064 (HY000) at line 1: Getting analyzing error from line 1, column 7 to line 1, column 49. Detail message: No matching function with signature: array_to_string(array<tinyint(4)>, varchar).>	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = Can not found function 'array_to_string'>
array_array_join_070	array_join	array	array_join([1, 2, 3], '_')	SAME	1_2_3	1_2_3
