# aggregates-round.trino.tsv — live Trino outputs for the 17-row cross-engine aggregate probe
# engine=Trino 481 (standalone trinodb/trino:481, inline VALUES dataset, no catalog)
# rendered=raw (TSV output-format); NULL->NULL; errors-><ERR:...>; booleans un-normalized; no rows errored
# NOTE: bare stddev/variance are SAMPLE in Trino (stddev==stddev_samp, variance==var_samp) — verified
count_star	6
count_x	5
count_distinct	4
sum	13
avg	2.6
min	1
max	5
stddev_default	1.516575
stddev_samp	1.516575
stddev_pop	1.356466
var_default	2.3
var_pop	1.84
median	2
sum_allnull	NULL
string_agg	a,a,b,c
array_agg	[a, a, b, c, NULL]
bool_or	true
