# doris-clickhouse-mass.doris.tsv — live Doris outputs for the 413-call mass scalar probe
# engine=Doris (FE doris-0.0.0/P-series pr62767-local, BE apache/doris:be-4.1.2)
# rendered=raw; strings raw UTF-8; NULL->NULL; errors-><ERR:first line ~60 chars> (kept)
# binary/invalid bytes -> \xNN; booleans un-normalized; ai_*/ML/geo/session errors expected & kept
# 6 binary-output fns (aes_encrypt,char,compress,sm4_encrypt,st_circle,st_point) rendered \xNN from hex()
abs	2.5
acos	NULL
acosh	1.566799236972411
aes_decrypt	NULL
aes_encrypt	\xc3\x1e\xdd\xca\xb7\xa6\x5e\x52\x25\xdc\xa5\xfe\xe9\x62\x61\x9e	# adjusted: binary output rendered as \xNN (from hex())
ai_classify	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
ai_extract	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
ai_filter	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
ai_fixgrammar	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
ai_generate	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
ai_mask	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
ai_sentiment	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
ai_similarity	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
ai_summarize	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
ai_translate	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
append_trailing_char_if_absent	NULL
arrays_overlap	1
array_avg	2
array_compact	[1, 2, 3]
array_concat	[1, 2, 3]
array_contains_all	1
array_count	3
array_cross_product	[0, 0, 0]
array_cum_sum	[1, 3, 6]
array_difference	[0, 1, 1]
array_distinct	[1, 2, 3]
array_enumerate	[1, 2, 3]
array_enumerate_uniq	[1, 1, 1]
array_except	[]
array_exists	[1, 1, 1]
array_filter	[1, 2, 3]
array_first	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
array_first_index	1
array_intersect	[2, 1, 3]
array_join	1aBc2aBc3
array_last	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
array_last_index	3
array_match_all	1
array_match_any	1
array_max	3
array_min	1
array_popback	[1, 2]
array_popfront	[2, 3]
array_product	6
array_range	[0, 1, 2, 3, 4]
array_reverse_sort	[3, 2, 1]
array_reverse_split	[[1], [2], [3]]
array_shuffle	[3, 1, 2]
array_size	3
array_slice	[]
array_sort	[1, 2, 3]
array_sortby	[1, 2, 3]
array_split	[[1], [2], [3]]
array_sum	6
array_union	[2, 1, 3]
ascii	97
asin	NULL
asinh	1.647231146371096
assert_true	1
atan	1.190289949682532
atan2	0.7853981633974483
atanh	NULL
auto_partition_name	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = f >
bin	101
bitmap_from_array	NULL
bitmap_from_base64	NULL
bitmap_from_string	NULL
bitmap_hash	NULL
bitmap_hash64	NULL
bit_count	2
bit_length	24
bit_shift_left	160
bit_shift_right	0
bit_test	0
cbrt	1.357208808297453
ceil	3
century	21
char	\x05	# adjusted: binary output rendered as \xNN (from hex())
char_length	3
compress	\x03\x00\x00\x00\x78\x9c\x4b\x74\x4a\x06\x00\x02\x0d\x01\x07	# adjusted: binary output rendered as \xNN (from hex())
concat	aBc
concat_ws	1aBc2aBc3
conv	0
convert_to	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
convert_tz	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
cos	-0.8011436155469337
cosh	6.132289479663686
cosine_distance	0
cosine_similarity	1
cot	-1.338648128304151
count_substrings	1
crc32	2694866272
csc	1.67092154555868
cut_to_first_significant_subdomain	
damerau_levenshtein_distance	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
date	2024-06-16
datev2	2024-06-16
date_format	aBc
day	16
dayname	Sunday
dayofweek	1
dayofyear	168
days_add	2024-06-21 13:45:07
days_sub	2024-06-11 13:45:07
day_ceil	2024-06-17 00:00:00
day_floor	2024-06-16 00:00:00
day_hour	16 13
day_microsecond	16 13:45:07.000000
day_minute	16 13:45
day_second	16 13:45:07
dceil	3
decode_as_varchar	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = ( >
degrees	143.2394487827058
dexp	12.18249396070347
dfloor	2
digital_masking	aBc****aBc
dlog10	0.3979400086720376
domain	
domain_without_www	
dpow	9.882117688026186
dround	3
dsqrt	1.58113883008419
element_at	NULL
elt	NULL
embed	<ERR:ERROR 1105 (HY000) at line 1: errCode = 2, detailMessage = C >
encode_as_bigint	3504136410896531459
encode_as_int	815870339
encode_as_largeint	64639907571175449905262134191399632899
