id	category	duckdb_fn	clickhouse_fn	verdict	duckdb_out	clickhouse_out
coalesce	null	coalesce	coalesce	identical	5	5
nullif	null	nullif	nullIf	identical	NULL	\N
if_fn	null	if	if	identical	a	a
ifnull	null	ifnull	ifNull	identical	7	7
greatest_null	null	greatest	greatest	identical	3	3
least_null	null	least	least	identical	1	1
starts_with	string	starts_with	startsWith	identical	True	1
ends_with	string	ends_with	endsWith	identical	True	1
left	string	left	left	identical	bri	bri
right	string	right	right	identical	kk	kk
split_part	string	split_part	splitByChar	identical	b	b
chr	string	chr	char	identical	A	A
repeat	string	repeat	repeat	identical	ababab	ababab
contains	string	contains	position	identical	True	1
regexp_full	regex	regexp_full_match	match	identical	True	1
truncate	numeric	trunc	truncate	identical	2.6	2.6
sqrt	numeric	sqrt	sqrt	identical	4.0	4
exp	numeric	exp	exp	identical	1.0	1
bitand	numeric	bitwise_and	bitAnd	identical	8	8
bitor	numeric	bitwise_or	bitOr	identical	14	14
bitxor	numeric	xor	bitXor	identical	6	6
gcd	numeric	gcd	gcd	identical	6	6
factorial	numeric	factorial	factorial	identical	120	120
quarter	datetime	quarter	toQuarter	identical	2	2
dayofyear	datetime	dayofyear	toDayOfYear	identical	61	61
minute	datetime	minute	toMinute	identical	45	45
second	datetime	second	toSecond	identical	7	7
last_day	datetime	last_day	toLastDayOfMonth	identical	2024-02-29	2024-02-29
extract_year	datetime	extract	extract	identical	2024	2024
from_unix	datetime	from_unixtime	fromUnixTimestamp	ERR	<ERR:Out of Range Error: Overflow in multipli>	2024-01-01 00:00:00
sign_zero	numeric	sign	sign	identical	0	0
pi	numeric	pi	pi	identical	3.14159	3.14159
cbrt	numeric	cbrt	cbrt	identical	3.0000000000000004	3
