vector_id	sql	result
null_concat_000	concat('a', NULL, 'b')	NULL
null_concat_ws_001	concat_ws(',', 'a', NULL, 'b')	a,b
null_coalesce_002	coalesce(NULL, NULL, 3)	3
null_nullif_003	nullif(1, 1)	NULL
null_ifnull_004	ifnull(NULL, 'x')	x
null_if_005	if(NULL, 'a', 'b')	b
null_greatest_006	greatest(1, NULL, 3)	NULL
null_least_007	least(1, NULL, 3)	NULL
null_length_008	length(NULL)	NULL
null_abs_009	abs(NULL)	NULL
null_upper_010	upper(NULL)	NULL
null_array_contains_011	array_contains([1, NULL, 3], NULL)	1
rounding_round_012	round(2.5)	3
rounding_round_013	round(3.5)	4
rounding_round_014	round(-2.5)	-3
rounding_round_015	round(2.345, 2)	2.35
rounding_truncate_016	truncate(2.567, 1)	2.5
rounding_floor_017	floor(-2.5)	-3
rounding_ceil_018	ceil(2.1)	3
rounding_divide_zero_int_019	1 / 0	NULL
rounding_divide_zero_float_020	1.0 / 0.0	NULL
rounding_mod_021	mod(-5, 3)	-2
rounding_mod_zero_022	mod(5, 0)	NULL
rounding_pmod_023	pmod(-5, 3)	1
rounding_pow_024	pow(2, 10)	1024
rounding_bin_025	bin(5)	101
string_length_026	length('héllo')	6
string_char_length_027	char_length('héllo')	5
string_upper_028	upper('héllo')	HÉLLO
string_lower_029	lower('HÉLLO')	héllo
string_substring_030	substring('hello', 2, 3)	ell
string_substring_031	substring('hello', 0, 3)	
string_substring_032	substring('hello', -2, 2)	lo
string_left_033	left('hello', 2)	he
string_right_034	right('hello', 2)	lo
string_locate_035	locate('l', 'hello')	3
string_instr_036	instr('hello', 'l')	3
string_lpad_037	lpad('x', 4, 'ab')	abax
string_rpad_038	rpad('x', 4, 'ab')	xaba
string_trim_039	trim('  x  ')	x
string_ltrim_040	ltrim('  x  ')	x  
string_repeat_041	repeat('ab', 3)	ababab
string_reverse_042	reverse('abc')	cba
string_ascii_043	ascii('A')	65
string_split_part_044	split_part('a,b,c', ',', 2)	b
string_replace_045	replace('aaa', 'a', 'bb')	bbbbbb
string_concat_empty_046	concat('', 'x')	x
regex_regexp_replace_047	regexp_replace('abc123', '[0-9]+', '#')	abc#
regex_regexp_extract_048	regexp_extract('abc123', '([a-z]+)([0-9]+)', 2)	123
regex_regexp_extract_049	regexp_extract('abc123', '[0-9]+', 0)	123
datetime_date_format_050	date_format('2024-03-05 13:07:09', '%Y-%m-%d')	2024-03-05
datetime_date_add_051	date_add('2024-01-31', INTERVAL 1 MONTH)	2024-02-29 00:00:00
datetime_date_sub_052	date_sub('2024-03-31', INTERVAL 1 MONTH)	2024-02-29 00:00:00
datetime_datediff_053	datediff('2024-03-01', '2024-01-01')	60
datetime_date_trunc_054	date_trunc('month', '2024-03-15 12:34:56')	2024-03-01 00:00:00
datetime_day_of_week_055	dayofweek('2024-03-05')	3
datetime_day_of_year_056	dayofyear('2024-03-05')	65
datetime_last_day_057	last_day('2024-02-10')	2024-02-29
datetime_to_date_058	to_date('2024-03-05 12:00:00')	2024-03-05
datetime_unix_timestamp_059	unix_timestamp('1970-01-01 00:00:01')	1
datetime_from_unixtime_060	from_unixtime(0)	1970-01-01 00:00:00
datetime_hour_061	hour('2024-03-05 13:07:09')	13
datetime_months_add_062	months_add('2024-01-31', 1)	2024-02-29 00:00:00
array_array_length_063	array_length([10, 20, 30])	3
array_array_contains_064	array_contains([1, 2, 3], 2)	1
array_array_position_065	array_position([10, 20, 30], 20)	2
array_element_at_066	element_at([10, 20, 30], 1)	10
array_element_at_067	element_at([10, 20, 30], -1)	NULL
array_array_slice_068	array_slice([1, 2, 3, 4, 5], 2, 2)	[2,3]
