name	is_aggregate	case_insensitive	alias_to
AIClassify	0	0	aiClassify
AIExtract	0	0	aiExtract
AIGenerate	0	0	aiGenerate
AITranslate	0	0	aiTranslate
BIT_AND	1	1	groupBitAnd
BIT_OR	1	1	groupBitOr
BIT_XOR	1	1	groupBitXor
CARDINALITY	0	1	length
CAST	0	1	
CHARACTER_LENGTH	0	1	lengthUTF8
CHAR_LENGTH	0	1	lengthUTF8
COVAR_POP	1	1	covarPop
COVAR_SAMP	1	1	covarSamp
CRC32	0	1	
CRC32IEEE	0	1	
CRC64	0	1	
DATABASE	0	1	currentDatabase
DATE	0	1	
DATE_DIFF	0	0	dateDiff
DATE_FORMAT	0	1	formatDateTime
DATE_TRUNC	0	1	dateTrunc
DAY	0	1	toDayOfMonth
DAYOFMONTH	0	1	toDayOfMonth
DAYOFWEEK	0	1	toDayOfWeek
DAYOFYEAR	0	1	toDayOfYear
FORMAT_BYTES	0	1	formatReadableSize
FQDN	0	1	
FROM_BASE64	0	1	base64Decode
FROM_DAYS	0	1	fromDaysSinceYearZero
FROM_UNIXTIME	0	1	fromUnixTimestamp
HMAC	0	1	
HOUR	0	1	toHour
INET6_ATON	0	1	IPv6StringToNum
INET6_NTOA	0	1	IPv6NumToString
INET_ATON	0	1	IPv4StringToNum
INET_NTOA	0	1	IPv4NumToString
IPv4CIDRToRange	0	0	
IPv4NumToString	0	0	
IPv4NumToStringClassC	0	0	
IPv4StringToNum	0	0	
IPv4StringToNumOrDefault	0	0	
IPv4StringToNumOrNull	0	0	
IPv4ToIPv6	0	0	
IPv6CIDRToRange	0	0	
IPv6NumToString	0	0	
IPv6StringToNum	0	0	
IPv6StringToNumOrDefault	0	0	
IPv6StringToNumOrNull	0	0	
JSONAllPaths	0	0	
JSONAllPathsWithTypes	0	0	
JSONAllValues	0	0	
JSONArrayLength	0	0	
JSONDynamicPaths	0	0	
JSONDynamicPathsWithTypes	0	0	
JSONExtract	0	0	
JSONExtractArrayRaw	0	0	
JSONExtractArrayRawCaseInsensitive	0	0	
