Signature	Return Type	Function Type	Intermediate Type	Properties
__iceberg_transform_bucket(BIGINT,INT)	INT	Scalar	NULL	{"fid":"10351","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_bucket(DATE,INT)	INT	Scalar	NULL	{"fid":"10352","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_bucket(DATETIME,INT)	INT	Scalar	NULL	{"fid":"10353","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_bucket(DECIMAL128,INT)	INT	Scalar	NULL	{"fid":"10358","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_bucket(DECIMAL32,INT)	INT	Scalar	NULL	{"fid":"10356","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_bucket(DECIMAL64,INT)	INT	Scalar	NULL	{"fid":"10357","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_bucket(INT,INT)	INT	Scalar	NULL	{"fid":"10350","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_bucket(VARBINARY,INT)	INT	Scalar	NULL	{"fid":"10355","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_bucket(VARCHAR,INT)	INT	Scalar	NULL	{"fid":"10354","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_day(DATE)	BIGINT	Scalar	NULL	{"fid":"50640","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_day(DATETIME)	BIGINT	Scalar	NULL	{"fid":"50641","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_hour(DATETIME)	BIGINT	Scalar	NULL	{"fid":"50650","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_month(DATE)	BIGINT	Scalar	NULL	{"fid":"50630","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_month(DATETIME)	BIGINT	Scalar	NULL	{"fid":"50631","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_timestamptz_bucket(DATETIME,INT)	INT	Scalar	NULL	{"fid":"10359","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_timestamptz_day(DATETIME)	BIGINT	Scalar	NULL	{"fid":"50642","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_timestamptz_hour(DATETIME)	BIGINT	Scalar	NULL	{"fid":"50651","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_timestamptz_month(DATETIME)	BIGINT	Scalar	NULL	{"fid":"50632","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_timestamptz_year(DATETIME)	BIGINT	Scalar	NULL	{"fid":"50622","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_truncate(BIGINT,INT)	BIGINT	Scalar	NULL	{"fid":"10341","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_truncate(DECIMAL128,INT)	DECIMAL128	Scalar	NULL	{"fid":"10344","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_truncate(DECIMAL32,INT)	DECIMAL32	Scalar	NULL	{"fid":"10342","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_truncate(DECIMAL64,INT)	DECIMAL64	Scalar	NULL	{"fid":"10343","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_truncate(INT,INT)	INT	Scalar	NULL	{"fid":"10340","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_truncate(VARBINARY,INT)	VARBINARY	Scalar	NULL	{"fid":"10346","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_truncate(VARCHAR,INT)	VARCHAR	Scalar	NULL	{"fid":"10345","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_year(DATE)	BIGINT	Scalar	NULL	{"fid":"50620","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
__iceberg_transform_year(DATETIME)	BIGINT	Scalar	NULL	{"fid":"50621","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
abs(BIGINT)	LARGEINT	Scalar	NULL	{"fid":"10043","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
abs(DECIMAL128)	DECIMAL128	Scalar	NULL	{"fid":"100472","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
abs(DECIMAL256)	DECIMAL256	Scalar	NULL	{"fid":"100473","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
abs(DECIMAL32)	DECIMAL32	Scalar	NULL	{"fid":"100470","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
abs(DECIMAL64)	DECIMAL64	Scalar	NULL	{"fid":"100471","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
abs(DECIMALV2)	DECIMALV2	Scalar	NULL	{"fid":"10047","symbol":"","file":"","isolation":"isolated","type":"BUILTIN","md5":""}
